delta_0,theta_0,lowalpha_0,highalpha_0,lowbeta_0,highbeta_0,lowgamma_0,midgamma_0,delta_1,theta_1,lowalpha_1,highalpha_1,lowbeta_1,highbeta_1,lowgamma_1,midgamma_1,delta_2,theta_2,lowalpha_2,highalpha_2,lowbeta_2,highbeta_2,lowgamma_2,midgamma_2,delta_3,theta_3,lowalpha_3,highalpha_3,lowbeta_3,highbeta_3,lowgamma_3,midgamma_3,delta_4,theta_4,lowalpha_4,highalpha_4,lowbeta_4,highbeta_4,lowgamma_4,midgamma_4,delta_5,theta_5,lowalpha_5,highalpha_5,lowbeta_5,highbeta_5,lowgamma_5,midgamma_5,delta_6,theta_6,lowalpha_6,highalpha_6,lowbeta_6,highbeta_6,lowgamma_6,midgamma_6,delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,lowgamma_ave,midgamma_ave,state
225086,65293,17155,8790,43211,26700,26311,11465,700195,46728,8431,12508,5897,10787,4197,5618,736965,110046,30692,14989,5258,7071,5540,4825,2451954,81117,48562,162129,30629,20691,10622,7691,168185,6579,8960,4787,4471,4635,1622,3839,114384,89631,25941,9030,4808,5910,4822,6407,1653542,267256,66204,40883,27602,33002,7019,8076,864330,95235,29420,36159,17410,15542,8590,6845,easy
76920,91897,5837,4990,2941,7682,4735,1375,65657,53172,1635,7599,6074,8789,7413,6825,270928,12661,11042,16830,12000,4733,3905,3077,187271,111617,30996,63084,53068,15560,20683,8844,13028,37776,34853,31690,18316,12251,16047,12474,24127,24779,22494,16946,2371,4078,3135,1556,24145,23233,802,64007,4637,3850,4718,10663,94582,50733,15379,29306,14201,8134,8662,6402,hard
173492,16012,406,1067,1339,2556,4901,1613,556914,154548,24613,16620,7082,16082,12544,4949,327768,33845,1717,19336,3785,6202,7199,4483,81413,8630,11517,5549,5649,4396,5793,3207,334222,40338,7825,14060,5141,4767,5958,6431,1127624,85892,18147,82116,28238,10258,39875,16236,1217633,158846,47714,53994,43650,16398,15692,26943,545580,71158,15991,27534,13554,8665,13137,9123,hard
157940,63902,5682,19254,17043,11606,19048,8552,2099750,23475,1344,33753,25335,10081,5823,3219,384626,23995,3192,2067,5972,7062,3628,1026,984844,45380,30014,13455,5175,15289,3741,3891,379689,10687,9769,16513,7316,8863,4998,2992,535430,12387,1216,1665,3142,1680,1545,740,1348439,52904,18931,8635,14190,10479,7428,3584,841531,33247,10021,13620,11167,9294,6601,3429,hard
54071,29248,652,1712,3176,775,568,529,197179,111417,28008,11508,26821,16975,6130,3142,422812,16877,473,949,2937,1384,449,867,292467,46500,10956,4467,2351,1645,1054,1098,1263972,106363,29022,84413,66964,18614,10822,12571,382988,35569,4763,11555,5104,3468,2163,3625,2081473,334550,45132,67404,73420,59854,14322,24782,670708,97217,17000,26001,25824,14673,5072,6659,hard
39158,1299,504,330,1058,336,162,35,71718,49712,746,9141,4648,3363,1694,770,399956,69830,74956,27973,31246,7251,3427,3912,763571,66099,13075,51253,43060,19609,15113,13795,1239854,46301,7901,7646,5469,5708,2174,2387,27926,12999,2218,3253,2029,879,288,429,97454,43444,9736,31443,12392,3049,3300,1947,377091,41383,15590,18719,14271,5742,3736,3325,hard
107019,17015,9305,4074,3653,5866,2069,1015,968095,47658,17155,8759,4873,2008,1281,2080,117286,17738,13261,9328,8329,2785,3120,1379,285111,6207,13986,13166,4677,6181,4534,938,173911,25052,4429,16250,8567,4171,3125,772,47893,43426,1266,3221,7746,2805,1163,707,426528,67269,1384,14259,15283,6924,2290,1145,303691,32052,8683,9865,7589,4391,2511,1148,hard
139111,69016,5446,21896,8341,10402,5138,1643,219246,27036,7366,1570,3757,1176,755,549,547800,103432,18800,11155,4543,9523,1832,1419,433435,186145,15273,29269,29946,26320,8535,9377,166272,20549,4014,27314,6162,2402,1208,3164,1002605,35355,29255,36425,8835,10344,4325,3717,24840,10928,3806,9356,672,1204,263,737,361901,64637,11994,19569,8893,8767,3150,2943,hard
54249,49851,9739,4750,4908,2755,813,596,1418239,71806,35697,6990,8966,6959,1759,4459,195409,42544,24168,1204,10590,8035,3916,2063,1669646,851200,170632,49372,67937,11327,7505,21688,175598,320517,11270,22213,20813,12290,9107,4816,1484631,129208,41133,18726,36710,27685,12216,5632,8709,10962,6511,19640,6450,1930,2628,893,715211,210869,42735,17556,22339,10140,5420,5735,easy
46403,21036,1803,5919,3797,8121,7785,3217,797178,780727,73148,17222,44237,17344,11463,25318,536220,91219,33741,8495,14652,26927,10244,4741,1166785,75109,60095,99440,21458,18908,18166,11856,116538,13959,1824,4456,1562,4621,2094,3545,73535,6818,4147,2782,1436,1077,916,424,141557,46896,50226,35839,49358,17513,7110,7167,411173,147966,32140,24879,19500,13501,8254,8038,hard
46691,20711,14504,47203,15706,30436,10247,3843,372304,103242,120959,66921,24208,14531,14000,17146,271788,145651,14056,33113,14050,9023,3310,4714,1124548,104228,5765,33544,5694,4561,1780,2494,236330,49610,17212,78540,26394,16891,12493,3438,695988,220380,29142,29345,39893,19053,19244,24049,1237692,144350,108546,144780,35845,30590,23550,45926,569334,112596,44312,61920,23112,17869,12089,14515,hard
35917,9769,2992,19092,4162,7059,1634,3300,82019,154441,14159,6844,12773,12437,4926,4673,1020431,16643,19989,19293,13779,12144,5111,1721,70164,33205,19984,56844,27552,6938,4901,3899,85709,43839,58344,104544,18344,11851,4497,2431,199602,28946,7536,11932,3271,2462,533,225,324259,44836,15304,12706,4756,4549,7224,3312,259728,47382,19758,33036,12091,8205,4118,2794,easy
