MSG_EEG_POWER_DELTA_1,MSG_EEG_POWER_HIGHALPHA_1,MSG_EEG_POWER_HIGHBETA_1,MSG_EEG_POWER_LOWALPHA_1,MSG_EEG_POWER_LOWBETA_1,MSG_EEG_POWER_LOWGAMMA_1,MSG_EEG_POWER_MIDGAMMA_1,MSG_EEG_POWER_THETA_1,MSG_EEG_POWER_DELTA_2,MSG_EEG_POWER_HIGHALPHA_2,MSG_EEG_POWER_HIGHBETA_2,MSG_EEG_POWER_LOWALPHA_2,MSG_EEG_POWER_LOWBETA_2,MSG_EEG_POWER_LOWGAMMA_2,MSG_EEG_POWER_MIDGAMMA_2,MSG_EEG_POWER_THETA_2,MSG_EEG_POWER_DELTA_3,MSG_EEG_POWER_HIGHALPHA_3,MSG_EEG_POWER_HIGHBETA_3,MSG_EEG_POWER_LOWALPHA_3,MSG_EEG_POWER_LOWBETA_3,MSG_EEG_POWER_LOWGAMMA_3,MSG_EEG_POWER_MIDGAMMA_3,MSG_EEG_POWER_THETA_3,MSG_EEG_POWER_DELTA_sd,MSG_EEG_POWER_HIGHALPHA_sd,MSG_EEG_POWER_HIGHBETA_sd,MSG_EEG_POWER_LOWALPHA_sd,MSG_EEG_POWER_LOWBETA_sd,MSG_EEG_POWER_LOWGAMMA_sd,MSG_EEG_POWER_MIDGAMMA_sd,MSG_EEG_POWER_THETA_sd,MSG_EEG_POWER_DELTA_diff1,MSG_EEG_POWER_HIGHALPHA_diff1,MSG_EEG_POWER_HIGHBETA_diff1,MSG_EEG_POWER_LOWALPHA_diff1,MSG_EEG_POWER_LOWBETA_diff1,MSG_EEG_POWER_LOWGAMMA_diff1,MSG_EEG_POWER_MIDGAMMA_diff1,MSG_EEG_POWER_THETA_diff1,MSG_EEG_POWER_DELTA_diff2,MSG_EEG_POWER_HIGHALPHA_diff2,MSG_EEG_POWER_HIGHBETA_diff2,MSG_EEG_POWER_LOWALPHA_diff2,MSG_EEG_POWER_LOWBETA_diff2,MSG_EEG_POWER_LOWGAMMA_diff2,MSG_EEG_POWER_MIDGAMMA_diff2,MSG_EEG_POWER_THETA_diff2,btn_color
43402,2922,6718,421,3684,13471,5431,12905,7585,5588,16734,6204,15146,30486,14050,8456,251776,2101,11091,4144,1592,6796,1447,26867,107668.124782,1488.50282723,4099.95710005,2393.21768523,5957.85964551,9973.75416893,5259.85874335,7843.58170736,-35817,244191,2666,-3487,10016,-5643,5783,-2060,11462,-13554,17015,-23690,8619,-12603,-4449,18411,0
20795,20552,16762608,16756228,17856,26761,16759256,86251,27497,4249,6535,4255,3409,4869,3610,3916,1145,29443,30845,16747021,16750785,16748711,22892,17486,11182.6612217,10432.7226978,7893164.88028,7894786.58843,7891385.77128,7887967.88352,7894146.38699,36042.910152,6702,-26352,-16303,25194,-16756073,24310,-16751973,16742766,-14447,16747376,-21892,16743842,-16755646,19282,-82335,13570,0
43935,3841,8719,546,6997,7057,2076,26642,16756439,13437,16752150,3228,11553,24752,14158,28219,4629,3434,5909,742,452,12118,4178,902,7887630.77502,4622.51583736,7893591.47366,1220.73456938,4556.14800755,7441.2118338,5270.39454564,12522.2158937,16712504,-16751810,9596,-10003,16743431,-16746241,2682,-2486,4556,-11101,17695,-12634,12082,-9980,1577,-27317,0
18984,11523,27860,7464,16768871,20564,9434,11170,26958,8567,26184,5011,7807,8517,12540,21845,16745588,8017,22291,4613,9725,10412,16012,21363,7883117.92542,1539.56963684,2332.81389456,1260.67944644,7900789.30473,5289.23789932,2686.84250872,4922.56931558,7974,16718630,-2956,-550,-1676,-3893,-2453,-398,-16761064,1918,-12047,1895,3106,3472,10675,-482,0
5298,23882,16749652,24940,23355,11068,19008,16749262,8014,4747,31198,4703,28694,18203,10906,16766281,7916,13322,75593,12059,23539,2956,10656,13244,1257.87227757,7825.82938452,7870711.66203,8363.72502072,2474.59990032,6228.81991677,3879.58772151,7893449.01989,2716,-98,-19135,8575,-16718454,44395,-20237,7356,5339,-5155,7135,-15247,-8102,-250,17019,-16753037,0
21384,19228,16746132,877,16769529,18604,9436,9848,1008280,18599,16756181,16758567,20562,16758997,11955,16752797,1439492,86860,68924,140703,7619,16752261,16772420,1735541,593570.907814,32031.3165962,7864080.88747,7866900.62766,7898591.22415,7889909.72883,7901552.77247,7519030.19246,986896,431212,-629,68261,10049,-16687257,16757690,-16617864,-16748967,-12943,16740393,-6736,2519,16760465,16742949,-15017256,0
325680,10524,8583,6371,4348,5740,10912,16755662,2184814,16744553,67476,26261,11538,16750123,20889,568455,498749,30742,58123,145518,16769760,29517,25617,83873,838593.219687,7883735.81414,25841.5592452,61445.3069883,7901596.85568,7887779.52422,6129.45110829,7747465.81245,1859134,-1686065,16734029,-16713811,58893,-9353,19890,119257,7190,16758222,16744383,-16720606,9977,4728,-16187207,-484582,0
1827675,11871,80706,18235,17537,25606,28227,266553,393625,11673,16745242,12990,5176,20857,6076,227102,1166948,16768447,127783,124777,16754255,103334,66426,548305,586049.678721,7899172.34884,7844664.99501,51505.1681959,7892679.65729,37810.4196603,24926.4538236,143027.55683,-1434050,773323,-198,16756774,16664536,-16617459,-5245,111787,-12361,16749079,-4749,82477,-22151,60350,-39451,321203,0
365977,2786,16320,5611,5598,9876,17249,16750974,136740,11058,4546,3005,4895,4794,2367,17284,643592,14580,89494,224325,8799,16769964,16745193,296594,207235.411039,4943.33337829,37578.3981327,103722.464851,1699.07903158,7901979.36331,7889138.48562,7823334.15904,-229237,506852,8272,3522,-11774,84948,-2606,221320,-703,3904,-5082,16765170,-14882,16742826,-16733690,279310,0
1141798,25096,94174,47132,16759279,82314,16770668,601639,70837,1952,3842,2605,3630,3631,1448,16217,528123,1846,12664,12241,4510,6627,3896,87084,438769.105939,10935.2562943,40663.3577998,19127.8973288,7898481.27757,36405.9098896,7904509.18218,260876.279276,-1070961,457286,-23144,-106,-90332,8822,-44527,9636,-16755649,880,-78683,2996,-16769220,2448,-585422,70867,0
942823,9418,15436,30577,31255,16828,8092,94347,125820,14580,3781,23334,5112,15541,4213,16750679,284641,24450,10265,24562,11565,4471,2945,69360,353698.169689,6236.31094656,4768.18765943,3164.89876966,11119.5211628,5546.73796028,2189.52237308,7857766.31835,-817003,158821,5162,9870,-11655,6484,-7243,1228,-26143,6453,-1287,-11070,-3879,-1268,16656332,-16681319,0
